schemaname,tablename,indexname,tablespace,indexdef
public,email_addresses,index_email_addresses_on_email_and_person_id_and_source,,"CREATE UNIQUE INDEX index_email_addresses_on_email_and_person_id_and_source ON email_addresses USING btree (email, person_id, source)"
public,email_addresses,index_email_addresses_on_source,,CREATE INDEX index_email_addresses_on_source ON email_addresses USING btree (source)
public,email_addresses,index_email_addresses_on_valid_values,,CREATE INDEX index_email_addresses_on_valid_values ON email_addresses USING btree (valid_values)
public,email_addresses,index_email_addresses_on_remote_id,,CREATE INDEX index_email_addresses_on_remote_id ON email_addresses USING btree (remote_id)
public,email_addresses,index_email_addresses_on_person_id,,CREATE INDEX index_email_addresses_on_person_id ON email_addresses USING btree (person_id)
public,people,index_people_on_anniversary_month,,CREATE INDEX index_people_on_anniversary_month ON people USING btree (anniversary_month)
public,people,index_people_on_anniversary_day,,CREATE INDEX index_people_on_anniversary_day ON people USING btree (anniversary_day)
public,people,index_people_on_access_token,,CREATE UNIQUE INDEX index_people_on_access_token ON people USING btree (access_token)
public,people,index_people_on_master_person_id,,CREATE INDEX index_people_on_master_person_id ON people USING btree (master_person_id)
public,people,index_people_on_last_name,,CREATE INDEX index_people_on_last_name ON people USING btree (last_name)
public,people,index_people_on_first_name,,CREATE INDEX index_people_on_first_name ON people USING btree (first_name)
public,phone_numbers,index_phone_numbers_on_source,,CREATE INDEX index_phone_numbers_on_source ON phone_numbers USING btree (source)
public,phone_numbers,index_phone_numbers_on_valid_values,,CREATE INDEX index_phone_numbers_on_valid_values ON phone_numbers USING btree (valid_values)
public,phone_numbers,index_phone_numbers_on_remote_id,,CREATE INDEX index_phone_numbers_on_remote_id ON phone_numbers USING btree (remote_id)
public,phone_numbers,index_phone_numbers_on_person_id,,CREATE INDEX index_phone_numbers_on_person_id ON phone_numbers USING btree (person_id)
public,donor_account_people,index_donor_account_people_on_person_id,,CREATE INDEX index_donor_account_people_on_person_id ON donor_account_people USING btree (person_id)
public,donor_account_people,index_donor_account_people_on_donor_account_id,,CREATE INDEX index_donor_account_people_on_donor_account_id ON donor_account_people USING btree (donor_account_id)
public,family_relationships,index_family_relationships_on_related_person_id,,CREATE INDEX index_family_relationships_on_related_person_id ON family_relationships USING btree (related_person_id)
public,family_relationships,index_family_relationships_on_person_id_and_related_person_id,,"CREATE UNIQUE INDEX index_family_relationships_on_person_id_and_related_person_id ON family_relationships USING btree (person_id, related_person_id)"
public,person_google_accounts,index_person_google_accounts_on_remote_id,,CREATE INDEX index_person_google_accounts_on_remote_id ON person_google_accounts USING btree (remote_id)
public,person_google_accounts,index_person_google_accounts_on_person_id,,CREATE INDEX index_person_google_accounts_on_person_id ON person_google_accounts USING btree (person_id)
public,person_facebook_accounts,index_person_facebook_accounts_on_person_id_and_username,,"CREATE UNIQUE INDEX index_person_facebook_accounts_on_person_id_and_username ON person_facebook_accounts USING btree (person_id, username)"
public,person_facebook_accounts,index_person_facebook_accounts_on_person_id_and_remote_id,,"CREATE UNIQUE INDEX index_person_facebook_accounts_on_person_id_and_remote_id ON person_facebook_accounts USING btree (person_id, remote_id)"
public,person_facebook_accounts,index_person_facebook_accounts_on_remote_id,,CREATE INDEX index_person_facebook_accounts_on_remote_id ON person_facebook_accounts USING btree (remote_id)
public,notification_preferences,index_notification_preferences_unique,,"CREATE UNIQUE INDEX index_notification_preferences_unique ON notification_preferences USING btree (user_id, account_list_id, notification_type_id)"
public,notification_preferences,index_notification_preferences_on_notification_type_id,,CREATE INDEX index_notification_preferences_on_notification_type_id ON notification_preferences USING btree (notification_type_id)
